recipe_id,name,cuisine,primary_protein,dietary_tag,prep_time_minutes,price_tier,description,calories,spice_level
R0062,Vindaloo Chicken Tikka Masala,Indian,chicken,low-carb,15,Value,"A vindaloo indian-style tikka masala featuring chicken, finished with chef-curated sides and a weeknight-friendly 26-minute prep.",768,2
R0063,Za'Atar Chicken Flatbread,Mediterranean,chicken,dairy-free,20,Value,"A za'atar mediterranean-style flatbread featuring chicken, finished with chef-curated sides and a quick 16-minute prep.",708,2
R0064,Tandoori Lentil Dal,Indian,lentil,gluten-free,15,Premium,"A tandoori indian-style dal featuring lentil, finished with chef-curated sides and a quick 15-minute prep.",418,1
R0065,Roasted Poblano Beef Taco,Mexican,beef,high-protein,25,Standard,"A roasted poblano mexican-style taco featuring beef, finished with chef-curated sides and a quick 30-minute prep.",599,3
R0066,Tahini Lamb Grain Bowl,Mediterranean,lamb,none,30,Standard,"A tahini mediterranean-style grain bowl featuring lamb, finished with chef-curated sides and a restaurant-quality 25-minute prep.",583,1
R0067,Tandoori Paneer Curry,Indian,paneer,vegetarian,15,Value,"A tandoori indian-style curry featuring paneer, finished with chef-curated sides and a restaurant-quality 27-minute prep.",637,0
R0068,Lemon-Basil Shrimp Polenta,Italian,shrimp,gluten-free,40,Standard,"A lemon-basil italian-style polenta featuring shrimp, finished with chef-curated sides and a easy 31-minute prep.",445,1
R0069,Tikka Masala Paneer Dal,Indian,paneer,none,25,Value,"A tikka masala indian-style dal featuring paneer, finished with chef-curated sides and a easy 25-minute prep.",514,1
R0070,Lemongrass-Lime Shrimp Stir-Fry,Thai,shrimp,gluten-free,30,Standard,"A lemongrass-lime thai-style stir-fry featuring shrimp, finished with chef-curated sides and a weeknight-friendly 31-minute prep.",737,1
R0071,Roasted Poblano Black Bean Enchilada,Mexican,black bean,vegetarian,35,Premium,"A roasted poblano mexican-style enchilada featuring black bean, finished with chef-curated sides and a restaurant-quality 28-minute prep.",683,2
R0072,Sesame-Ginger Tofu Teriyaki Plate,Japanese,tofu,dairy-free,30,Standard,"A sesame-ginger japanese-style teriyaki plate featuring tofu, finished with chef-curated sides and a quick 23-minute prep.",687,3
R0073,Rustic Marinara Chicken Gnocchi,Italian,chicken,none,30,Value,"A rustic marinara italian-style gnocchi featuring chicken, finished with chef-curated sides and a quick 22-minute prep.",722,1
R0074,Garlic-Herb Mushroom Gnocchi,Italian,mushroom,low-carb,25,Value,"A garlic-herb italian-style gnocchi featuring mushroom, finished with chef-curated sides and a weeknight-friendly 37-minute prep.",540,1
R0075,Tahini Chicken Couscous,Mediterranean,chicken,high-protein,25,Standard,"A tahini mediterranean-style couscous featuring chicken, finished with chef-curated sides and a quick 40-minute prep.",671,3
R0076,Smoky Adobo Shrimp Quesadilla,Mexican,shrimp,gluten-free,35,Standard,"A smoky adobo mexican-style quesadilla featuring shrimp, finished with chef-curated sides and a easy 15-minute prep.",693,0
R0077,Roasted Red Pepper Chicken Pita,Mediterranean,chicken,high-protein,20,Premium,"A roasted red pepper mediterranean-style pita featuring chicken, finished with chef-curated sides and a restaurant-quality 29-minute prep.",598,3
R0078,Smoky Bbq Turkey Burger,American,turkey,none,15,Standard,"A smoky BBQ american-style burger featuring turkey, finished with chef-curated sides and a restaurant-quality 34-minute prep.",580,1
R0079,Sweet Chili Chicken Rice Noodle,Thai,chicken,none,20,Standard,"A sweet chili thai-style rice noodle featuring chicken, finished with chef-curated sides and a weeknight-friendly 21-minute prep.",746,1
R0080,Miso-Glazed Tofu Rice Bowl,Japanese,tofu,none,40,Standard,"A miso-glazed japanese-style rice bowl featuring tofu, finished with chef-curated sides and a restaurant-quality 36-minute prep.",592,2
R0081,Miso-Glazed Tofu Teriyaki Plate,Japanese,tofu,vegetarian,40,Premium,"A miso-glazed japanese-style teriyaki plate featuring tofu, finished with chef-curated sides and a weeknight-friendly 29-minute prep.",681,1
R0082,Maple-Glazed Tofu Grain Bowl,American,tofu,vegetarian,20,Premium,"A maple-glazed american-style grain bowl featuring tofu, finished with chef-curated sides and a easy 38-minute prep.",483,2
R0083,Za'Atar Lamb Flatbread,Mediterranean,lamb,none,40,Standard,"A za'atar mediterranean-style flatbread featuring lamb, finished with chef-curated sides and a quick 25-minute prep.",535,3
R0084,Garlic-Herb Shrimp Risotto,Italian,shrimp,none,35,Standard,"A garlic-herb italian-style risotto featuring shrimp, finished with chef-curated sides and a weeknight-friendly 39-minute prep.",460,1
R0085,Smoky Bbq Chicken Skillet,American,chicken,gluten-free,35,Standard,"A smoky BBQ american-style skillet featuring chicken, finished with chef-curated sides and a weeknight-friendly 31-minute prep.",757,3
R0086,Vindaloo Lentil Dal,Indian,lentil,dairy-free,30,Premium,"A vindaloo indian-style dal featuring lentil, finished with chef-curated sides and a easy 40-minute prep.",698,3
R0087,Garlic Butter Tofu Burger,American,tofu,vegan,25,Premium,"A garlic butter american-style burger featuring tofu, finished with chef-curated sides and a restaurant-quality 32-minute prep.",647,3
R0088,Yuzu Beef Soba,Japanese,beef,none,20,Standard,"A yuzu japanese-style soba featuring beef, finished with chef-curated sides and a quick 18-minute prep.",562,0
R0089,Tandoori Lamb Tikka Masala,Indian,lamb,high-protein,15,Value,"A tandoori indian-style tikka masala featuring lamb, finished with chef-curated sides and a quick 25-minute prep.",550,3
R0090,Maple-Glazed Pork Chop Skillet,American,pork chop,low-carb,15,Value,"A maple-glazed american-style skillet featuring pork chop, finished with chef-curated sides and a quick 15-minute prep.",506,1
R0091,Korma Lentil Tikka Masala,Indian,lentil,dairy-free,35,Premium,"A korma indian-style tikka masala featuring lentil, finished with chef-curated sides and a quick 37-minute prep.",646,2
R0092,Korma Chickpea Curry,Indian,chickpea,low-carb,40,Standard,"A korma indian-style curry featuring chickpea, finished with chef-curated sides and a easy 15-minute prep.",671,2
R0093,Tonkatsu Tofu Teriyaki Plate,Japanese,tofu,gluten-free,25,Standard,"A tonkatsu japanese-style teriyaki plate featuring tofu, finished with chef-curated sides and a easy 21-minute prep.",900,3
R0094,Tandoori Chickpea Dal,Indian,chickpea,vegetarian,30,Value,"A tandoori indian-style dal featuring chickpea, finished with chef-curated sides and a quick 22-minute prep.",683,3
R0095,Tzatziki Chickpea Pita,Mediterranean,chickpea,low-carb,30,Standard,"A tzatziki mediterranean-style pita featuring chickpea, finished with chef-curated sides and a weeknight-friendly 40-minute prep.",604,1
R0096,Rustic Marinara Italian Sausage Pasta,Italian,Italian sausage,gluten-free,15,Premium,"A rustic marinara italian-style pasta featuring Italian sausage, finished with chef-curated sides and a weeknight-friendly 30-minute prep.",823,1
R0097,Coconut Curry Chicken Rice Noodle,Thai,chicken,none,30,Standard,"A coconut curry thai-style rice noodle featuring chicken, finished with chef-curated sides and a easy 20-minute prep.",639,0
R0098,Tandoori Chickpea Biryani,Indian,chickpea,high-protein,30,Value,"A tandoori indian-style biryani featuring chickpea, finished with chef-curated sides and a restaurant-quality 34-minute prep.",611,2
R0099,Coconut Curry Tofu Stir-Fry,Thai,tofu,low-carb,40,Standard,"A coconut curry thai-style stir-fry featuring tofu, finished with chef-curated sides and a easy 28-minute prep.",649,2
R0100,Sun-Dried Tomato Shrimp Gnocchi,Italian,shrimp,none,25,Value,"A sun-dried tomato italian-style gnocchi featuring shrimp, finished with chef-curated sides and a quick 19-minute prep.",666,3
R0101,Roasted Poblano Black Bean Enchilada,Mexican,black bean,vegetarian,40,Standard,"A roasted poblano mexican-style enchilada featuring black bean, finished with chef-curated sides and a restaurant-quality 27-minute prep.",572,3
R0102,Garlic Butter Chicken Sheet-Pan,American,chicken,none,20,Standard,"A garlic butter american-style sheet-pan featuring chicken, finished with chef-curated sides and a easy 31-minute prep.",592,3
R0103,Rustic Marinara Chicken Gnocchi,Italian,chicken,none,15,Value,"A rustic marinara italian-style gnocchi featuring chicken, finished with chef-curated sides and a easy 16-minute prep.",519,0
R0104,Smoky Adobo Black Bean Quesadilla,Mexican,black bean,none,30,Value,"A smoky adobo mexican-style quesadilla featuring black bean, finished with chef-curated sides and a restaurant-quality 17-minute prep.",512,1
R0105,Smoky Bbq Tofu Burger,American,tofu,vegetarian,15,Value,"A smoky BBQ american-style burger featuring tofu, finished with chef-curated sides and a quick 25-minute prep.",506,0
R0106,Fresh Pico Black Bean Taco,Mexican,black bean,vegetarian,25,Standard,"A fresh pico mexican-style taco featuring black bean, finished with chef-curated sides and a quick 23-minute prep.",507,1
R0107,Smoky Bbq Beef Sheet-Pan,American,beef,none,40,Value,"A smoky BBQ american-style sheet-pan featuring beef, finished with chef-curated sides and a restaurant-quality 27-minute prep.",651,2
R0108,Chipotle-Lime Black Bean Burrito Bowl,Mexican,black bean,vegetarian,20,Value,"A chipotle-lime mexican-style burrito bowl featuring black bean, finished with chef-curated sides and a restaurant-quality 33-minute prep.",599,0
R0109,Garlic-Herb Eggplant Pasta,Italian,eggplant,none,15,Standard,"A garlic-herb italian-style pasta featuring eggplant, finished with chef-curated sides and a restaurant-quality 15-minute prep.",730,0
R0110,Lemon-Basil Italian Sausage Pasta,Italian,Italian sausage,low-carb,20,Standard,"A lemon-basil italian-style pasta featuring Italian sausage, finished with chef-curated sides and a easy 15-minute prep.",676,3
R0111,Vindaloo Lentil Tikka Masala,Indian,lentil,none,30,Standard,"A vindaloo indian-style tikka masala featuring lentil, finished with chef-curated sides and a quick 38-minute prep.",816,1
R0112,Rustic Marinara Shrimp Polenta,Italian,shrimp,none,15,Value,"A rustic marinara italian-style polenta featuring shrimp, finished with chef-curated sides and a weeknight-friendly 35-minute prep.",689,2
R0113,Lemon-Oregano Chickpea Flatbread,Mediterranean,chickpea,none,25,Value,"A lemon-oregano mediterranean-style flatbread featuring chickpea, finished with chef-curated sides and a weeknight-friendly 24-minute prep.",479,0
R0114,Yuzu Beef Udon,Japanese,beef,none,15,Value,"A yuzu japanese-style udon featuring beef, finished with chef-curated sides and a quick 38-minute prep.",642,2
R0115,Lemon-Oregano Chickpea Grain Bowl,Mediterranean,chickpea,vegetarian,15,Value,"A lemon-oregano mediterranean-style grain bowl featuring chickpea, finished with chef-curated sides and a restaurant-quality 21-minute prep.",817,2
R0116,Za'Atar Chickpea Grain Bowl,Mediterranean,chickpea,low-carb,30,Standard,"A za'atar mediterranean-style grain bowl featuring chickpea, finished with chef-curated sides and a restaurant-quality 25-minute prep.",603,2
R0117,Garlic-Herb Italian Sausage Polenta,Italian,Italian sausage,gluten-free,40,Value,"A garlic-herb italian-style polenta featuring Italian sausage, finished with chef-curated sides and a easy 40-minute prep.",729,0
R0118,Tangy Citrus Carnitas Quesadilla,Mexican,carnitas,gluten-free,30,Standard,"A tangy citrus mexican-style quesadilla featuring carnitas, finished with chef-curated sides and a easy 19-minute prep.",661,2
R0119,Teriyaki Beef Teriyaki Plate,Japanese,beef,high-protein,25,Standard,"A teriyaki japanese-style teriyaki plate featuring beef, finished with chef-curated sides and a restaurant-quality 18-minute prep.",597,0
R0120,Sesame-Ginger Chicken Teriyaki Plate,Japanese,chicken,none,40,Standard,"A sesame-ginger japanese-style teriyaki plate featuring chicken, finished with chef-curated sides and a easy 35-minute prep.",646,1
R0121,Smoky Adobo Beef Quesadilla,Mexican,beef,none,40,Premium,"A smoky adobo mexican-style quesadilla featuring beef, finished with chef-curated sides and a quick 38-minute prep.",492,1
R0122,Herb-Roasted Tofu Grain Bowl,American,tofu,vegetarian,30,Standard,"A herb-roasted american-style grain bowl featuring tofu, finished with chef-curated sides and a restaurant-quality 25-minute prep.",350,2
R0123,Sesame-Ginger Shrimp Teriyaki Plate,Japanese,shrimp,low-carb,40,Standard,"A sesame-ginger japanese-style teriyaki plate featuring shrimp, finished with chef-curated sides and a quick 33-minute prep.",584,0
R0124,Fresh Pico Black Bean Enchilada,Mexican,black bean,high-protein,25,Standard,"A fresh pico mexican-style enchilada featuring black bean, finished with chef-curated sides and a quick 40-minute prep.",609,2
R0125,Coconut Curry Tofu Jasmine Rice,Thai,tofu,vegan,25,Standard,"A coconut curry thai-style jasmine rice featuring tofu, finished with chef-curated sides and a weeknight-friendly 25-minute prep.",580,2
R0126,Smoky Bbq Tofu Sheet-Pan,American,tofu,vegetarian,15,Value,"A smoky BBQ american-style sheet-pan featuring tofu, finished with chef-curated sides and a easy 34-minute prep.",666,0
R0127,Lemongrass-Lime Chicken Curry,Thai,chicken,none,35,Premium,"A lemongrass-lime thai-style curry featuring chicken, finished with chef-curated sides and a quick 27-minute prep.",543,1
R0128,Fresh Pico Black Bean Taco,Mexican,black bean,vegetarian,20,Value,"A fresh pico mexican-style taco featuring black bean, finished with chef-curated sides and a weeknight-friendly 26-minute prep.",509,0
R0129,Korma Chickpea Dal,Indian,chickpea,none,20,Value,"A korma indian-style dal featuring chickpea, finished with chef-curated sides and a easy 21-minute prep.",608,1
R0130,Coconut Curry Lentil Tikka Masala,Indian,lentil,high-protein,40,Value,"A coconut curry indian-style tikka masala featuring lentil, finished with chef-curated sides and a restaurant-quality 24-minute prep.",651,3
R0131,Peanut Tofu Stir-Fry,Thai,tofu,low-carb,30,Standard,"A peanut thai-style stir-fry featuring tofu, finished with chef-curated sides and a quick 34-minute prep.",575,0
R0132,Chipotle-Lime Black Bean Taco,Mexican,black bean,vegan,35,Value,"A chipotle-lime mexican-style taco featuring black bean, finished with chef-curated sides and a restaurant-quality 28-minute prep.",451,3
R0133,Spicy Basil Chicken Curry,Thai,chicken,none,40,Value,"A spicy basil thai-style curry featuring chicken, finished with chef-curated sides and a restaurant-quality 30-minute prep.",595,2
R0134,Garlic-Herb Shrimp Risotto,Italian,shrimp,none,25,Standard,"A garlic-herb italian-style risotto featuring shrimp, finished with chef-curated sides and a restaurant-quality 31-minute prep.",551,3
R0135,Za'Atar Chicken Flatbread,Mediterranean,chicken,none,30,Value,"A za'atar mediterranean-style flatbread featuring chicken, finished with chef-curated sides and a restaurant-quality 28-minute prep.",413,1
R0136,Chipotle-Lime Chicken Quesadilla,Mexican,chicken,dairy-free,30,Standard,"A chipotle-lime mexican-style quesadilla featuring chicken, finished with chef-curated sides and a restaurant-quality 23-minute prep.",601,1
R0137,Smoky Bbq Pork Chop Skillet,American,pork chop,none,40,Standard,"A smoky BBQ american-style skillet featuring pork chop, finished with chef-curated sides and a quick 19-minute prep.",801,0
R0138,Tangy Citrus Beef Enchilada,Mexican,beef,none,15,Value,"A tangy citrus mexican-style enchilada featuring beef, finished with chef-curated sides and a quick 37-minute prep.",643,0
R0139,Spicy Basil Tofu Stir-Fry,Thai,tofu,vegetarian,30,Value,"A spicy basil thai-style stir-fry featuring tofu, finished with chef-curated sides and a easy 28-minute prep.",350,0
R0140,Teriyaki Shrimp Teriyaki Plate,Japanese,shrimp,none,40,Standard,"A teriyaki japanese-style teriyaki plate featuring shrimp, finished with chef-curated sides and a easy 36-minute prep.",541,3
